YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS2M,country,UV_B_W_m2_280_4000,UV_A_W_m2_280_4000,Blue_W_m2_280_4000,Green_W_m2_280_4000,Red_W_m2_280_4000,FarRed_W_m2_280_4000,NIR_W_m2_280_4000,SW_IR_W_m2_280_4000,IR_Tail_W_m2_280_4000,crop,m49_code,Unit,yield_t_ha
2020,1,1,0,0.0,0.0,0.0,0.06,97.55,3.11,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,1,0.0,0.0,0.0,-0.24,97.46,3.12,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,2,0.0,0.0,0.0,-0.46,97.83,3.14,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,3,0.0,0.0,0.0,-0.63,98.05,3.19,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,4,0.0,0.0,0.0,-0.79,98.18,3.25,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,5,0.0,0.0,0.0,-0.86,98.18,3.24,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,6,0.0,0.0,0.0,-1.08,98.55,3.08,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,7,0.0,0.0,0.0,-1.39,98.17,3.02,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,8,0.16,0.2,0.11,-1.3,96.57,3.14,Belgium,9.846586418368e-05,0.0071762077045929,0.0220775764858601,0.0239192621609032,0.0220648815370154,0.0094074065434317,0.0428781486019481,0.0300690579579728,0.0012405251817696,Tomatoes,'056,kg/ha,502419.4
2020,1,1,9,0.44,0.54,0.23,-0.53,92.57,3.38,Belgium,0.0002707811265051,0.0197345711876306,0.0607133353361153,0.065777970942484,0.0606784242267924,0.0258703679944372,0.1179149086553573,0.0826899093844252,0.0034114442498664,Tomatoes,'056,kg/ha,502419.4
2020,1,1,10,0.68,0.81,0.28,1.0,86.37,3.71,Belgium,0.0004184799227806,0.0304988827445201,0.0938297000649056,0.101656864183839,0.0937757465323155,0.0399814778095849,0.1822321315582796,0.1277934963213844,0.0052722320225208,Tomatoes,'056,kg/ha,502419.4
2020,1,1,11,0.81,0.93,0.32,2.3,80.89,3.77,Belgium,0.0004984834374298,0.0363295515045019,0.1117677309596669,0.1210912646895729,0.1117034627811405,0.0476249956261232,0.2170706272973624,0.1522246059122373,0.0062801587327086,Tomatoes,'056,kg/ha,502419.4
2020,1,1,12,0.8,0.89,0.28,3.09,77.48,3.77,Belgium,0.0004923293209183,0.0358810385229648,0.1103878824293007,0.1195963108045164,0.1103244076850771,0.0470370327171587,0.2143907430097407,0.150345289789864,0.006202625908848,Tomatoes,'056,kg/ha,502419.4
2020,1,1,13,0.6,0.69,0.24,3.04,77.93,3.54,Belgium,0.0003692469906888,0.0269107788922236,0.0827909118219755,0.0896972331033873,0.0827433057638078,0.035277774537869,0.1607930572573055,0.112758967342398,0.004651969431636,Tomatoes,'056,kg/ha,502419.4
2020,1,1,14,0.32,0.37,0.17,1.94,84.5,2.53,Belgium,0.0001969317283673,0.0143524154091859,0.0441551529717202,0.0478385243218065,0.0441297630740308,0.0188148130868634,0.0857562972038962,0.0601381159159456,0.0024810503635392,Tomatoes,'056,kg/ha,502419.4
2020,1,1,15,0.05,0.05,0.05,-0.85,100.0,1.48,Belgium,3.07705825574e-05,0.0022425649076853,0.0068992426518312,0.0074747694252822,0.0068952754803173,0.0029398145448224,0.0133994214381087,0.0093965806118665,0.000387664119303,Tomatoes,'056,kg/ha,502419.4
2020,1,1,16,0.0,0.0,0.0,-1.49,100.0,1.91,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,17,0.0,0.0,0.0,-1.27,100.0,2.54,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,18,0.0,0.0,0.0,-1.14,100.0,2.89,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,19,0.0,0.0,0.0,-1.02,98.24,3.2,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,20,0.0,0.0,0.0,-0.88,96.79,3.4,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,21,0.0,0.0,0.0,-0.89,96.56,3.19,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,1,22,0.0,0.0,0.0,-0.84,96.41,2.97,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
