band,wavelength_min_nm,wavelength_max_nm,integrated_W_m2,percent_of_total
UV_B,280,315,0.615617733938988,0.06154116511480238
UV_A,315,400,44.86631750000001,4.485129815370612
Blue,400,500,138.03106000000002,13.798485303662597
Green,500,600,149.54545,14.949538850564567
Red,600,700,137.95168999999999,13.79055096063464
FarRed,700,750,58.81598,5.879629089644845
NIR,750,1100,268.07817,26.798842876217584
SW_IR,1100,2500,187.9945448631393,18.79316122373302
IR_Tail,2500,4000,7.755878726363905,0.7753282386060188
Total_280_4000,280,4000,1000.3348698234422,99.99999999999999
